Zip Code,Median Income,Median Age,Total Population,White Pop,Black Pop,Asian Pop,Hispanic Pop,Pacific Pop,Native Pop,Other Pop
85119,44200,53,20911,19004,343,274,2545,8,47,244
85120,34808,49.9,28038,25863,269,128,4922,27,363,570
85122,44150,36.1,53558,41900,2533,1349,22095,0,1851,4469
85123,45231,35.3,9581,7723,747,8,3572,0,207,497
85128,40820,35,15965,11420,734,96,5399,0,2353,690
85131,28130,32.3,18347,12340,1308,474,11713,449,398,2927
85132,48625,38.2,35681,29331,1897,265,13458,50,1508,2123
85138,65290,33.2,35265,26727,4103,1334,7371,5,436,1608
85139,56168,35.3,18074,13688,785,436,5333,43,1662,809
85140,57585,28,39508,33458,2096,145,9104,23,879,2048
85142,71927,30.5,53488,45051,1513,1029,11432,443,698,3477
85143,59830,31,37873,28888,2298,765,7528,631,1883,2499
85194,47190,53.8,6523,5230,104,210,2102,14,250,498
85201,34532,32.3,47815,37848,2433,809,17272,188,2821,2509
85202,41513,32.1,36024,27475,2042,1599,10254,139,1141,2305
85203,45346,32.4,33935,29457,890,229,9438,138,918,1569
85204,43912,31.4,62767,51486,1421,800,29532,406,927,5763
85205,43341,49.5,41891,36601,1117,665,6821,16,968,1451
85206,45557,48.7,32887,29078,1706,819,4287,61,235,447
85207,64728,40.6,47142,43237,666,839,7229,11,472,803
85208,44455,46.6,36742,32241,835,270,7727,1,190,2645
85209,55329,43.3,41525,35783,1266,1073,7480,132,1221,1540
85210,37322,29.5,38908,32078,1761,671,18054,217,900,1981
85212,78902,30.7,24685,20020,981,655,4861,52,238,1943
85213,57220,41.2,33621,29189,1229,555,5512,101,384,1162
85215,55994,54.3,15594,14741,28,371,922,56,131,94
85224,61754,34.4,44606,33999,2127,3217,9699,35,897,1728
85225,55753,31.3,72300,57282,4171,3621,29032,207,1310,3027
85226,76253,34.9,38543,29081,2454,3949,6730,182,435,1273
85233,74668,35.3,38015,30237,1674,2522,7122,74,496,1205
85234,78649,32.8,51823,45160,1140,2443,7502,114,370,1001
85248,67301,58.4,30253,25407,773,1921,2030,39,840,507
85249,99910,38.2,39598,31460,1323,3790,5767,104,323,877
85250,59840,48.8,16850,15318,301,370,1699,0,258,436
85251,50159,36.9,37550,32847,1433,741,6782,46,339,1025
85253,112005,51.9,17166,16022,253,519,1278,0,0,138
85254,90236,44,45230,40911,306,2781,2336,10,133,315
85255,112531,47.2,38082,35035,208,1916,1913,10,143,108
85257,50740,39.5,28684,24352,643,539,6168,0,1466,1370
85258,73526,54.5,22471,21082,287,550,1090,0,69,261
85259,100250,46.9,22265,19497,198,1721,783,53,60,57
85260,75916,43.9,36755,32806,419,2339,2729,0,193,230
85262,133199,54.9,10990,9935,236,509,148,0,18,39
85263,107606,69.2,2324,2235,0,11,34,0,17,0
85266,103883,58.4,10646,9771,176,296,401,0,28,59
85268,72530,55.1,23214,21864,403,425,790,13,160,77
85281,31600,23.5,57507,41031,2772,5340,13789,194,2102,3838
85282,49173,30.3,51930,39943,2546,1706,11748,383,1322,3841
85283,51837,31.4,46117,30081,3063,2205,13530,330,3562,4839
85284,111145,45,17315,14004,372,1837,1742,81,79,610
85286,90451,34.7,39678,29722,1760,5795,5998,33,286,496
85295,87267,31.4,39947,32891,1474,3405,6435,57,474,630
85296,84714,32.3,41553,35112,1485,2554,6081,29,132,930
85297,87049,29.3,29228,25047,691,1508,5294,10,351,356
85298,91961,36,25494,21974,688,1416,2298,94,205,264
85301,26802,28.8,63060,41835,4424,1257,39855,132,1428,11505
85302,41574,33.9,38334,29981,2551,1146,11367,60,1365,1873
85303,48739,28.1,30754,21069,2679,1503,18382,58,341,4039
85304,60518,39,26479,21740,1453,1261,5034,6,344,912
85305,62689,32.5,11545,8088,1384,401,4605,11,220,879
85306,55405,37.6,24385,21468,575,597,3760,13,349,497
85308,68166,39.4,63662,54863,1678,3308,8001,68,414,1079
85310,90077,39.2,19260,17931,587,192,1436,17,154,54
85323,45159,28.2,39385,30517,2938,695,27219,13,842,3074
85326,50546,30.9,53868,41690,3685,542,22569,120,1750,4623
85331,90038,46,27396,25682,98,633,1439,7,37,292
85332,35917,65.6,1313,1313,0,0,176,0,0,0
85335,47564,29.5,32600,25328,1623,291,15326,56,638,3222
85338,65583,32.5,46583,36982,4266,1190,16250,45,575,1936
85339,63690,28.9,39137,21805,7341,1941,16144,121,2528,3303
85340,78202,36.3,28747,22551,2391,1367,6864,49,169,1354
85344,35846,41,9709,5437,49,110,2928,37,2529,1263
85345,44513,35,58852,48173,3234,1872,20693,74,405,2446
85350,31834,28.4,22877,19499,592,50,18677,1,1049,1367
85351,34729,72.8,28771,27642,439,136,1056,51,156,104
85353,52371,26.9,33920,25870,3094,385,23959,309,448,2677
85355,72919,34.7,9649,8349,259,409,1851,0,131,118
85356,40592,53,4832,3148,200,107,1723,0,78,1232
