Zip Code,Median Income,Median Age,Total Population,White Percent,Black Percent,Asian Percent,Hispanic Percent,Pacific Percent,Native Percent,Other Percent,ZipName,State,Lat,Long,County
1001,60775,44.3,17141,0.9240417711918791,0.011259553118254478,0.029053147424304298,0.05909806895747039,0.0022169068315734206,0.001458491336561461,0.01750189603873753,Agawam,MA,42.06,-72.61,Hampden County
1002,55082,23.0,29844,0.7982173971317518,0.04674306393244873,0.11566814099986597,0.07545905374614663,0.0,0.0037863557163919045,0.005193673770272082,Amherst,MA,42.37,-72.52,Belchertown
1005,68361,42.7,5113,0.9763348327791903,0.0025425386270291413,0.018775669861138274,0.01388617250146685,0.0,0.0013690592607079992,0.00039115978877371407,Barre,MA,42.42,-72.1,Barre Town
1007,74221,41.8,14774,0.9423311222417761,0.011439014484905917,0.018343035061594692,0.02551780154325166,0.0,0.0,0.004534993908217138,Belchertown,MA,42.27,-72.4,Belchertown
1008,71979,47.8,1212,0.9917491749174917,0.0,0.005775577557755775,0.005775577557755775,0.0,0.0,0.0024752475247524753,Blandford,MA,42.18,-72.93,Hampden County
1010,82365,46.0,3667,1.0,0.0,0.0,0.012271611671666212,0.0,0.0,0.0,Brimfield,MA,42.11,-72.2,Hampden County
1013,41342,35.8,22299,0.8320104040539934,0.027714247275662587,0.016637517377460873,0.23749943943674603,0.0,0.0005381407237992735,0.10386115969325979,Chicopee,MA,42.17,-72.57,Hampden County
1020,52236,43.0,30593,0.8850390612231557,0.02814369300166705,0.012780701467656,0.126597587683457,0.0,0.0005556826725067826,0.04903082404471611,Chicopee,MA,42.17,-72.57,Hampden County
1022,60353,41.2,2711,0.8122464035411288,0.10623386204352638,0.0066396163777203985,0.04795278495020288,0.0,0.0,0.01733677609738104,Chicopee,MA,42.17,-72.57,Hampden County
1027,58551,45.1,17652,0.9240879220484931,0.00719465216406073,0.03285746657602538,0.04509404033537276,0.0,0.00022660321776569228,0.01348289145705869,Easthampton,MA,42.26,-72.68,Hampshire County
1028,84173,45.6,15917,0.9378651755984168,0.0359364201796821,0.01620908462649997,0.029716655148583276,0.0,0.0003769554564302318,0.000879562731670541,East Longmeadow,MA,42.06,-72.51,Hampden County
1030,68326,44.2,11485,0.9497605572485851,0.012973443622115803,0.014801915542011318,0.0520679146713104,0.0,0.014453635176316934,0.004266434479756204,Feeding Hills,MA,42.06,-72.67,Agawam
1033,79647,44.1,6214,0.9922755069198583,0.0,0.0,0.05954296749275829,0.0,0.0,0.002252977148374638,Granby,MA,42.26,-72.52,Belchertown
1034,77448,47.1,2061,0.970402717127608,0.002911208151382824,0.004366812227074236,0.00727802037845706,0.0,0.00727802037845706,0.0019408054342552159,Granville,MA,42.06,-72.86,Hampden County
1035,74737,45.6,5285,0.9528855250709556,0.026679280983916746,0.011163670766319774,0.0467360454115421,0.0,0.0,0.006433301797540208,Hadley,MA,42.35,-72.58,Hampshire County
1036,79639,48.9,5141,0.9856059132464501,0.004473837774751994,0.0,0.0099202489787979,0.0,0.0,0.0,Hampden,MA,42.06,-72.41,Wilbraham
1040,35550,35.6,40079,0.8102497567304573,0.04506100451608074,0.016542328900421666,0.46979715062751065,0.0,0.004690735796801317,0.10556650615035305,Holyoke,MA,42.21,-72.64,Hampden County
1050,52813,42.5,2512,0.9211783439490446,0.02746815286624204,0.0,0.05732484076433121,0.002786624203821656,0.0,0.0051751592356687895,Huntington,MA,42.23,-72.88,Hampshire County
1056,61410,44.8,21288,0.9535888763622699,0.015689590379556556,0.007046223224351747,0.053504321683577605,0.0005167230364524615,0.0011273957158962795,0.013246899661781286,Ludlow,MA,42.16,-72.48,Hampden County
1057,66343,46.8,8645,0.9683053788316947,0.0037015615962984385,0.002776171197223829,0.014112203585887797,0.0,0.0,0.004395604395604396,Monson,MA,42.09,-72.31,Hampden County
1060,53427,34.4,15348,0.850208496221006,0.02925462600990357,0.07492832942402919,0.07792546260099036,0.0008470158978368517,0.0016288767266093302,0.02169663799843628,Northampton,MA,42.32,-72.67,Hampshire County
1062,64727,44.6,10830,0.8817174515235457,0.022622345337026777,0.05909510618651893,0.07442289935364728,0.0,0.0,0.016066481994459834,Florence,MA,42.32,-72.67,Leeds
1069,54412,41.9,8982,0.9900912936985081,0.004342017368069473,0.00111333778668448,0.012358049432197728,0.0,0.0,0.0,Palmer,MA,42.16,-72.32,Palmer
1073,68693,44.3,5958,0.974320241691843,0.006377979187646861,0.0,0.0030211480362537764,0.0,0.0,0.0,Southampton,MA,42.23,-72.73,Hampshire County
1075,62408,41.0,17832,0.9115634813817856,0.037797218483624946,0.026469268730372364,0.04615298340062808,0.0012898160610139075,0.0008972633467922835,0.006505159264244055,South Hadley,MA,42.26,-72.56,Hampshire County
1077,81967,43.9,9599,0.966663194082717,0.00041671007396603814,0.01604333784769247,0.005104698406083967,0.0,0.0,0.0,Southwick,MA,42.05,-72.76,Hampden County
1082,52709,43.0,10394,0.9680584952857417,0.0018279776794304407,0.003944583413507793,0.02087742928612661,0.0029824898980180875,0.0012507215701366174,0.0021166057340773524,Ware,MA,42.25,-72.24,Ware
1085,61211,38.4,41121,0.9006833491403419,0.018725225553853263,0.028598526300430437,0.08436078889132073,0.0017022932321684784,0.0004863694949052795,0.03214902361323898,Westfield,MA,42.13,-72.75,Hampden County
1089,52806,39.6,28554,0.8503186944035862,0.031063949008895426,0.04167542200742453,0.09658891924073686,0.0,0.011837220704629824,0.04535266512572669,West Springfield,MA,42.12,-72.65,Hampden County
